REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Automatic Icemaker 	 have_features 	 In-Door Icemaker
In-Door Icemaker 	 have_features 	 sentence_list_1tfxcy
In-Door Icemaker 	 Before_Using.description 	 sentence_list_056drv
Freezer Icemaker 	 Before_Using.description 	 sentence_list_szkdiz
Freezer Icemaker (Cubed Ice) 	 description 	 sentence_list_grveii
Freezer Icemaker (Cubed Ice) 	 have_features 	 sentence_list_nktvuf
Icemaker 	 Turning_On 	 sentence_list_jrv7x9
Icemaker 	 Turning_Off 	 sentence_list_jrv7x9
Normal Sounds You May Hear 	 description 	 sentence_list_ksbexl
Preparing for Vacation 	 description 	 sentence_list_axdiuk
Automatic Icemaker 	 have_features 	 Freezer Icemaker
Automatic Icemaker 	 have_features 	 Freezer Icemaker (Cubed Ice)
Automatic Icemaker 	 have_features 	 Icemaker
Automatic Icemaker 	 have_features 	 Normal Sounds You May Hear
Automatic Icemaker 	 have_features 	 Preparing for Vacation
Food 	 Storing 	 Food Storage Tips
Food Storage Tips 	 description 	 sentence_list_ojm6vf
Food Storage Tips 	 caution 	 sentence_list_aem0jv
Food Storage Tips 	 How_to_Store_Food 	 Butter or Margarine
Butter or Margarine 	 description 	 sentence_list_7mprun
Cheese 	 description 	 sentence_list_f8xpb5
Milk 	 description 	 sentence_list_r8vx7h
Eggs 	 description 	 sentence_list_7bz2sc
Fruit 	 description 	 sentence_list_skrpme
Leafy Vegetables 	 description 	 sentence_list_2putjk
Vegetables with skins (carrots, peppers) 	 description 	 sentence_list_kmxic1
Fish 	 description 	 sentence_list_6k2rjg
Leftovers 	 description 	 sentence_list_tywj79
Food Storage Tips 	 How_to_Store_Food 	 Cheese
Food Storage Tips 	 How_to_Store_Food 	 Milk
Food Storage Tips 	 How_to_Store_Food 	 Eggs
Food Storage Tips 	 How_to_Store_Food 	 Fruit
Food Storage Tips 	 How_to_Store_Food 	 Leafy Vegetables
Food Storage Tips 	 How_to_Store_Food 	 Vegetables with skins (carrots, peppers)
Food Storage Tips 	 How_to_Store_Food 	 Fish
Food Storage Tips 	 How_to_Store_Food 	 Leftovers
Frozen Food 	 Storing.description 	 sentence_list_im5s7x
Frozen Food 	 Storing.Freezing 	 sentence_list_rv178t
Frozen Food 	 Storing.Packaging.description 	 sentence_list_jbzm1q
Frozen Food 	 Storing.Packaging.Packaging_recommendations 	 sentence_list_g5mnaa
Frozen Food 	 Storing.Packaging.Do_not_use 	 sentence_list_ldyvyv
Food 	 Storing 	 Frozen Food
Humidity Controlled Crispers 	 Using.description 	 sentence_list_hybiic
Humidity Controlled Crispers 	 Removing.procedure.steps 	 sentence_list_5t0u7k
Humidity Controlled Crispers 	 Assembling.procedure.steps 	 sentence_list_5t0u7k
GlideNServe 	 Using.description 	 sentence_list_u6wki8
GlideNServe 	 Using.caution 	 sentence_list_uiyeid
GlideNServe 	 Detaching.procedure.steps 	 sentence_list_e0s0nw
GlideNServe 	 Assembling.procedure.steps 	 sentence_list_e0s0nw
Refrigerator Shelves 	 summary 	 sentence_list_7c7gl0
Refrigerator Shelves 	 have_features 	 Folding Shelf
Folding Shelf 	 Using.description 	 sentence_list_6bnt8n
Folding Shelf 	 Using.caution 	 sentence_list_xadgar
Shelf 	 Detaching.caution 	 sentence_list_8tlgv0
Shelf 	 Detaching.procedure.steps 	 sentence_list_z6jjn2
Shelf 	 Assembling.caution 	 sentence_list_8tlgv0
Shelf 	 Assembling.procedure.steps 	 sentence_list_z6jjn2
Refrigerator Shelves 	 have_features 	 Shelf
Door-in-Door 	 summary 	 sentence_list_vyk05g
Door-in-Door 	 have_features 	 Door-in-Door Compartment
Door-in-Door Compartment 	 description 	 sentence_list_8jbc0w
Door-in-Door Bin 	 description 	 sentence_list_80bh6h
Door-in-Door Bin 	 procedure.steps 	 sentence_list_zh2o8x
Door-in-Door Case 	 description 	 sentence_list_86ictb
Door-in-Door Case 	 procedure.steps 	 sentence_list_gnnybz
Door-in-Door 	 have_features 	 Door-in-Door Bin
Door-in-Door 	 have_features 	 Door-in-Door Case
Door Bins 	 have_features 	 Door Bin
Door Bin 	 Detaching.description 	 sentence_list_eb2gxt
Door Bin 	 Detaching.procedure.steps 	 sentence_list_tw7jtj
Door Bin 	 Detaching.caution 	 sentence_list_t1n1l4
Door Bin 	 Assembling.description 	 sentence_list_eb2gxt
Door Bin 	 Assembling.procedure.steps 	 sentence_list_tw7jtj
Door Bin 	 Assembling.caution 	 sentence_list_t1n1l4
Durabase 	 Using.description 	 sentence_list_ukhbo7
Durabase 	 Using.warning 	 sentence_list_k75wd2
REFRIGERATOR 	 OPERATION 	 Sabbath Mode
REFRIGERATOR 	 OPERATION 	 Ice and Water Dispenser
REFRIGERATOR 	 OPERATION 	 Ice Compartment
REFRIGERATOR 	 OPERATION 	 Automatic Icemaker
REFRIGERATOR 	 OPERATION 	 Food
REFRIGERATOR 	 OPERATION 	 Humidity Controlled Crispers
REFRIGERATOR 	 OPERATION 	 GlideNServe
REFRIGERATOR 	 OPERATION 	 Refrigerator Shelves
REFRIGERATOR 	 OPERATION 	 Door-in-Door
REFRIGERATOR 	 OPERATION 	 Door Bins
REFRIGERATOR 	 OPERATION 	 Durabase
sentence_list_224bwb 	 talks_about 	 Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.
Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping. 	 talks_about 	 accumulated during shipping
Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping. 	 talks_about 	 Clean the refrigerator thoroughly and wipe off all dust
Clean the refrigerator thoroughly and wipe off all dust 	 that 	 accumulated during shipping
sentence_list_4xwba1 	 talks_about 	 Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator.
sentence_list_4xwba1 	 talks_about 	 Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent.
sentence_list_4xwba1 	 talks_about 	 Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.
Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. 	 talks_about 	 contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator
Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. 	 talks_about 	 Do not scratch the refrigerator with a sharp object or use a detergent
Do not scratch the refrigerator with a sharp object or use a detergent 	 that 	 contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator
Remove adhesive residue by wiping adhesive residue off with your thumb or dish detergent. 	 paraphrase 	 adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks_about 	 adhesive residue
adhesive residue should be removed by wiping adhesive residue off with your thumb or dish detergent 	 talks_about 	 by wiping adhesive residue off with your thumb or dish detergent
adhesive residue 	 should_be_removed 	 by wiping adhesive residue off with your thumb or dish detergent
Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator. 	 paraphrase 	 the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off
the model or serial number label or the technical information on the rear surface of the refrigerator should not be peeled off 	 talks_about 	 the model or serial number label or the technical information on the rear surface of the refrigerator
contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator 	 talks_about 	 removing any tape or adhesive from the refrigerator
contains alcohol , a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator 	 talks_about 	 contains alcohol, a flammable liquid or an abrasive
contains alcohol , a flammable liquid or an abrasive 	 Synchronous 	 removing any tape or adhesive from the refrigerator
removing any tape or adhesive from the refrigerator 	 Synchronous 	 contains alcohol , a flammable liquid or an abrasive
sentence_list_nq27fd 	 talks_about 	 The inside of the refrigerator may smell like plastic at first.
sentence_list_nq27fd 	 talks_about 	 Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.
The inside of the refrigerator may smell like plastic at first. 	 talks_about 	 The inside of the refrigerator
sentence_list_ulmzsg 	 talks_about 	 Check if the power supply is connected before use.
Check if the power supply is connected before use. 	 talks_about 	 the power supply is connected before use
Check if the power supply is connected before use. 	 talks_about 	 Check
Check 	 Condition 	 the power supply is connected before use
the power supply is connected before use 	 Follows 	 Check
sentence_list_8zbl24 	 talks_about 	 Turn off the icemaker if the refrigerator is not yet connected to the water supply.
sentence_list_8zbl24 	 talks_about 	 The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply.
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks_about 	 the refrigerator is not yet connected to the water supply
Turn off the icemaker if the refrigerator is not yet connected to the water supply. 	 talks_about 	 Turn off the icemaker
Turn off the icemaker 	 Condition 	 the refrigerator is not yet connected to the water supply
the refrigerator is not yet connected to the water supply 	 Follows 	 Turn off the icemaker
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks_about 	 the icemaker is turned on while the refrigerator is not connected to the water supply
The the icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply. 	 talks_about 	 The the icemaker water valve may buzz
The the icemaker water valve may buzz 	 Condition 	 the icemaker is turned on while the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 Follows 	 The the icemaker water valve may buzz
Turn off the icemaker 	 paraphrase 	 the icemaker should be turned off
the icemaker should be turned off 	 talks_about 	 the icemaker
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks_about 	 the refrigerator is not connected to the water supply
the icemaker is turned on while the refrigerator is not connected to the water supply 	 talks_about 	 the icemaker is turned on
the icemaker is turned on 	 Synchronous 	 the refrigerator is not connected to the water supply
the refrigerator is not connected to the water supply 	 Synchronous 	 the icemaker is turned on
the refrigerator is not yet connected to the water supply 	 talks_about 	 the refrigerator
sentence_list_96a0lx 	 talks_about 	 Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator.
sentence_list_96a0lx 	 talks_about 	 Check the flow of cold air in the freezer compartment to ensure proper cooling.
Allow the refrigerator to run for at least two to three hours before putting food in the refrigerator. 	 paraphrase 	 the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 the refrigerator
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 to run for at least two to three hours before putting food in the refrigerator
the refrigerator 	 should_be_allowed 	 to run for at least two to three hours before putting food in the refrigerator
Check the flow of cold air in the freezer compartment to ensure proper cooling. 	 paraphrase 	 the flow of cold air should be checked in the freezer compartment to ensure proper cooling
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 the flow of cold air
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 in the freezer compartment to ensure proper cooling
the flow of cold air 	 should_be_checked 	 in the freezer compartment to ensure proper cooling
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 at least two to three hours
the refrigerator should be allowed to run for at least two to three hours before putting food in the refrigerator 	 talks_about 	 putting food in the refrigerator
the refrigerator 	 to_run_for 	 at least two to three hours
at least two to three hours 	 to_run_for_reverse 	 the refrigerator
putting food in the refrigerator 	 to_run_before_reverse 	 the refrigerator
the refrigerator 	 to_run_before 	 putting food in the refrigerator
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 the freezer compartment
the flow of cold air should be checked in the freezer compartment to ensure proper cooling 	 talks_about 	 ensure proper cooling
the flow of cold air 	 should_be_checked_in 	 the freezer compartment
the freezer compartment 	 should_be_checked_in_reverse 	 the flow of cold air
ensure proper cooling 	 should_be_checked_to_reverse 	 the flow of cold air
the flow of cold air 	 should_be_checked_to 	 ensure proper cooling
sentence_list_4fbu2k 	 talks_about 	 Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator.
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks_about 	 the refrigerator has cooled
Putting food in the refrigerator before the refrigerator has cooled could cause food to spoil, or a bad odor to remain inside the refrigerator. 	 talks_about 	 Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator
Putting food in the refrigerator could cause food to spoil , or a bad odor to remain inside the refrigerator 	 succeded_by 	 the refrigerator has cooled
the refrigerator has cooled 	 preceded_by 	 Putting food in the refrigerator could cause food to spoil , or a bad odor to remain inside the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 a bad odor
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 Putting food in the refrigerator
Putting food in the refrigerator could cause food to spoil, or a bad odor to remain inside the refrigerator 	 talks_about 	 food to spoil
a bad odor 	 to_remain_inside 	 the refrigerator
Putting food in the refrigerator 	 could_cause 	 food to spoil
food to spoil 	 could_cause_reverse 	 Putting food in the refrigerator
the refrigerator 	 to_remain_inside_reverse 	 a bad odor
sentence_list_p7gz0e 	 talks_about 	 makes is normal.
sentence_list_p7gz0e 	 talks_about 	 The volume will decrease as the temperature decreases.
The volume will decrease as the temperature decreases. 	 talks_about 	 as the temperature decreases
The volume will decrease as the temperature decreases. 	 talks_about 	 The volume will decrease
makes is normal. 	 talks_about 	 makes
makes is normal. 	 talks_about 	 normal
makes 	 is 	 normal
normal 	 is_reverse 	 makes
sentence_list_8m19nj 	 talks_about 	 Depending on the model, some of the following functions may not be available.
sentence_list_8m19nj 	 talks_about 	 The actual control panel may differ from model to model.
Depending on the model, some of the following functions may not be available. 	 talks_about 	 some of the following functions
sentence_list_7xkqx3 	 talks_about 	 When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed.
sentence_list_7xkqx3 	 talks_about 	 Once on, the display remains on for 20 seconds.
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks_about 	 the refrigerator is in the Power Saving Mode
When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. 	 talks_about 	 the display remains off until a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 Synchronous 	 the refrigerator is in the Power Saving Mode
the refrigerator is in the Power Saving Mode 	 Synchronous 	 the display remains off until a door is opened or a button is pressed
Once on, the display remains on for 20 seconds. 	 talks_about 	 on, the display remains on for 20 seconds
the display remains off until a door is opened or a button is pressed 	 talks_about 	 a door is opened or a button is pressed
the display remains off until a door is opened or a button is pressed 	 talks_about 	 the display remains off
the display remains off 	 succeded_by 	 a door is opened or a button is pressed
a door is opened or a button is pressed 	 preceded_by 	 the display remains off
a door is opened or a button is pressed 	 talks_about 	 a button is pressed
a door is opened or a button is pressed 	 talks_about 	 a door is opened
a door is opened 	 Alternative 	 a button is pressed
a button is pressed 	 Alternative 	 a door is opened
the refrigerator is in the Power Saving Mode 	 talks_about 	 the refrigerator
the refrigerator is in the Power Saving Mode 	 talks_about 	 the Power Saving Mode
the refrigerator 	 is_in 	 the Power Saving Mode
the Power Saving Mode 	 is_in_reverse 	 the refrigerator
on, the display remains on for 20 seconds 	 talks_about 	 the display
on, the display remains on for 20 seconds 	 talks_about 	 20 seconds
the display 	 remains_for 	 20 seconds
20 seconds 	 remains_for_reverse 	 the display
the display remains off 	 talks_about 	 the display
sentence_list_g5bzyo 	 talks_about 	 Ice Plus increases both ice making and freezing capabilities.
sentence_list_g5bzyo 	 talks_about 	 Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours.
sentence_list_g5bzyo 	 talks_about 	 Ice Plus automatically shuts off after 24 hours.
sentence_list_g5bzyo 	 talks_about 	 Stop Ice Plus manually by pressing the Ice Plus button once more.
Press the Ice Plus button to illuminate the icon and activate Ice Plus for 24 hours. 	 paraphrase 	 the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the Ice Plus button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 to illuminate the icon and activate Ice Plus for 24 hours
the Ice Plus button 	 should_be_pressed 	 to illuminate the icon and activate Ice Plus for 24 hours
Stop Ice Plus manually by pressing the Ice Plus button once more. 	 paraphrase 	 Ice Plus should be stopped manually by pressing the Ice Plus button once more
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks_about 	 Ice Plus
Ice Plus should be stopped manually by pressing the Ice Plus button once more 	 talks_about 	 manually by pressing the Ice Plus button once more
Ice Plus 	 should_be_stopped 	 manually by pressing the Ice Plus button once more
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 both freezing capabilities
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 Ice Plus
Ice Plus increases both ice making and freezing capabilities. 	 talks_about 	 both ice making
both freezing capabilities 	 increases_reverse 	 Ice Plus
Ice Plus 	 increases 	 both ice making
Ice Plus 	 increases 	 both freezing capabilities
both ice making 	 increases_reverse 	 Ice Plus
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 button
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 24 hours
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 the icon
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 activate Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 Ice
the Ice Plus button should be pressed to illuminate the icon and activate Ice Plus for 24 hours 	 talks_about 	 illuminate the icon
button 	 should_be_pressed_for 	 24 hours
the Ice 	 to_illuminate 	 the icon
24 hours 	 should_be_pressed_for_reverse 	 button
the icon 	 to_illuminate_reverse 	 the Ice
button 	 to_illuminate 	 the icon
button 	 should_be_pressed_to 	 activate Ice
Ice 	 to_activate_reverse 	 the Ice
illuminate the icon 	 should_be_pressed_to_reverse 	 button
the Ice 	 should_be_pressed_to 	 activate Ice
activate Ice 	 should_be_pressed_to_reverse 	 the Ice
24 hours 	 should_be_pressed_for_reverse 	 the Ice
button 	 should_be_pressed_to 	 illuminate the icon
the Ice 	 should_be_pressed_for 	 24 hours
the icon 	 to_illuminate_reverse 	 button
the Ice 	 should_be_pressed_to 	 illuminate the icon
illuminate the icon 	 should_be_pressed_to_reverse 	 the Ice
activate Ice 	 should_be_pressed_to_reverse 	 button
button 	 to_activate 	 Ice
Ice 	 to_activate_reverse 	 button
the Ice 	 to_activate 	 Ice
Ice Plus automatically shuts off after 24 hours. 	 talks_about 	 Ice Plus
Ice Plus automatically shuts off after 24 hours. 	 talks_about 	 24 hours
Ice Plus 	 automatically_shuts_off_after 	 24 hours
24 hours 	 automatically_shuts_off_after_reverse 	 Ice Plus
sentence_list_203yy6 	 talks_about 	 Press the Smart Grid button to turn the function On/Off.
sentence_list_203yy6 	 talks_about 	 When the function is on, the icon illuminates.
sentence_list_203yy6 	 talks_about 	 the function automatically turns on when the refrigerator is connected to the Wi-Fi network.
sentence_list_203yy6 	 talks_about 	 When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates.
Press the Smart Grid button to turn the function On/Off. 	 paraphrase 	 the Smart Grid button should be pressed to turn the function On/Off
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 the Smart Grid button
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 to turn the function On/Off
the Smart Grid button 	 should_be_pressed 	 to turn the function On/Off
When the function is on, the icon illuminates. 	 talks_about 	 the function is on
When the function is on, the icon illuminates. 	 talks_about 	 the icon illuminates
the icon illuminates 	 Synchronous 	 the function is on
the function is on 	 Synchronous 	 the icon illuminates
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks_about 	 the refrigerator is connected to the Wi-Fi network
the function automatically turns on when the refrigerator is connected to the Wi-Fi network. 	 talks_about 	 the function automatically turns on
the function automatically turns on 	 Synchronous 	 the refrigerator is connected to the Wi-Fi network
the refrigerator is connected to the Wi-Fi network 	 Synchronous 	 the function automatically turns on
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks_about 	 the refrigerator is responding to a Demand Response DR message from the electric company
When the refrigerator is responding to a Demand Response ( DR ) message from the electric company, the Grid text illuminates. 	 talks_about 	 the Grid text illuminates
the Grid text illuminates 	 Synchronous 	 the refrigerator is responding to a Demand Response DR message from the electric company
the refrigerator is responding to a Demand Response DR message from the electric company 	 Synchronous 	 the Grid text illuminates
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 turn the function On/Off
the Smart Grid button should be pressed to turn the function On/Off 	 talks_about 	 the function
the Smart Grid button 	 should_be_pressed_to 	 turn the function On/Off
the Smart Grid button 	 to_turn_Off 	 the function
the function 	 to_turn_Off_reverse 	 the Smart Grid button
turn the function On/Off 	 should_be_pressed_to_reverse 	 the Smart Grid button
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks_about 	 the refrigerator
the refrigerator is responding to a Demand Response DR message from the electric company 	 talks_about 	 a Demand Response DR message from the electric company
the refrigerator 	 is_responding_to 	 a Demand Response DR message from the electric company
a Demand Response DR message from the electric company 	 is_responding_to_reverse 	 the refrigerator
sentence_list_o5cfjh 	 talks_about 	 Indicates the set temperature of the freezer compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_o5cfjh 	 talks_about 	 The default freezer temperature is 0 ° F ( -18 ° C ).
sentence_list_o5cfjh 	 talks_about 	 Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F ( -21 ° C to-13 ° C ).
Press the Freezer button repeatedly to select a new set temperature from-6 ° F to 8 ° F ( -21 ° C to-13 ° C ). 	 paraphrase 	 the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C 	 talks_about 	 the Freezer button
the Freezer button should be pressed repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C 	 talks_about 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
the Freezer button 	 should_be_pressed 	 repeatedly to select a new set temperature from-6 ° F to 8 ° F -21 ° C to-13 ° C
sentence_list_7tzuor 	 talks_about 	 Indicates the set temperature of the refrigerator compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_7tzuor 	 talks_about 	 The default refrigerator temperature is 37 ° F ( 3 ° C ).
sentence_list_7tzuor 	 talks_about 	 Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ).
sentence_list_7tzuor 	 talks_about 	 To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds.
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks_about 	 the temperature mode
To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. 	 talks_about 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
the temperature mode 	 should_be_changed_by 	 from ° F to ° C or vice versa press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds
sentence_list_7tzuor 	 talks_about 	 The temperature indicator on the display window switches between Celsius and Fahrenheit.
